airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Ricotta Salata Airlines,$975,731320,234022,0.51%,0.84%,32.00%,"$1,710,707"
Ridder Airlines,"$1,830",1547913,1160935,0.09%,0.26%,75.00%,"-$3,030,041"
Rigel Airlines,"$1,683",192581,63552,0.13%,0.28%,33.00%,"$105,745"
Rigil Kentaurus Airlines,$552,1568004,1097603,0.87%,1.18%,70.00%,"$371,616"
Rigotte Airlines,"$1,231",241413,125535,0.18%,0.29%,52.00%,"$71,844"
River Ash Airlines,$764,676356,94690,0.25%,0.64%,14.00%,"$818,119"
River Birch Airlines,"$1,789",1025188,686876,0.27%,0.44%,67.00%,"-$429,862"
River Maple Airlines,"$1,202",1279991,652795,0.19%,0.41%,51.00%,"-$332,284"
River Turtle Airlines,"$1,664",108551,10855,0.25%,0.40%,10.00%,"$386,117"
Road Weed Airlines,$377,805492,144989,1.09%,1.50%,18.00%,"$2,499,439"
Robin Airlines,"$1,458",1097110,175538,0.37%,0.44%,16.00%,"$4,766,282"
Rocamadour Airlines,"$1,044",239060,4781,0.38%,0.60%,2.00%,"$909,625"
Rock Harlequin Airlines,"$1,879",742832,408558,0.21%,0.26%,55.00%,"$881,740"
Rock Hyrax Airlines,$356,1011168,384244,1.21%,1.94%,38.00%,"$1,696,739"
Rocket Airlines,$674,1433686,100358,0.23%,0.67%,7.00%,"$1,800,280"
Rocket Cress Airlines,"$1,315",1531387,1301679,0.37%,0.45%,85.00%,"-$235,068"
Rockfish Airlines,"$1,631",1333136,399941,0.18%,0.34%,30.00%,"$1,758,405"
Rockhopper Penguin Airlines,"$1,974",1769044,583785,0.21%,0.36%,33.00%,"$3,061,504"
Rogues Gilli Flower Airlines,"$1,132",1490064,685429,0.42%,0.67%,46.00%,"$1,854,835"
Rollot Airlines,"$1,767",1126685,845014,0.26%,0.43%,75.00%,"-$1,129,504"
Roman Wormwood Airlines,$934,363715,207318,0.30%,0.46%,57.00%,"$149,776"
Romano Airlines,"$1,289",675080,20252,0.23%,0.46%,3.00%,"$1,844,793"
Romans Part Dieu Airlines,$359,471117,42401,0.70%,1.07%,9.00%,"$1,024,819"
Roncal Airlines,$397,1349824,715407,1.19%,1.56%,53.00%,"$1,928,492"
Roquefort Airlines,"$1,274",122669,67468,0.40%,0.64%,55.00%,"$77,649"
Rosaliadecastro Airlines,$580,843471,598864,0.90%,1.21%,71.00%,"$170,047"
Rose Airlines,$794,359654,97107,0.23%,0.55%,27.00%,"$233,809"
Rose Milkweed Airlines,"$1,406",415905,153885,0.33%,0.46%,37.00%,"$908,294"
Rose Willow Airlines,"$1,747",164499,50995,0.27%,0.45%,31.00%,"$363,985"
Roseate Spoonbill Airlines,$231,1400212,476072,1.38%,2.49%,34.00%,"$1,715,260"
Rosemary Airlines,"$1,835",739213,243940,0.30%,0.48%,33.00%,"$1,936,075"
Rotanev Airlines,"$1,500",1942784,660547,0.18%,0.31%,34.00%,"$2,290,152"
Rottweiler Airlines,"$1,154",458262,375775,0.20%,0.33%,82.00%,"-$382,741"
Roule Airlines,"$1,865",1268122,849642,0.13%,0.26%,67.00%,"-$882,487"
Rouleau De Beaulieu Airlines,$539,260445,18231,0.62%,0.85%,7.00%,"$789,175"
Round Leaf Plantain Airlines,$904,1815313,744278,0.45%,0.72%,41.00%,"$2,496,058"
Royal Penguin Airlines,"$1,394",579303,341789,0.11%,0.23%,59.00%,"-$187,637"
Royalp Tilsit Airlines,"$1,793",312014,209049,0.15%,0.29%,67.00%,"-$244,617"
Rubens Airlines,"$1,085",1086496,184704,0.32%,0.57%,17.00%,"$2,588,687"
Ruchbah Airlines,$795,1824524,164207,0.56%,0.71%,9.00%,"$7,159,798"
Ruficaudus Airlines,$977,519583,98721,0.47%,0.65%,19.00%,"$1,777,804"
Rufus Airlines,"$1,879",344713,75837,0.20%,0.31%,22.00%,"$883,843"
Rukbat Airlines,$947,1454707,116377,0.27%,0.45%,8.00%,"$3,252,723"
Rum Cherry Airlines,"$1,536",524951,94491,0.27%,0.40%,18.00%,"$1,586,928"
Running Swamp Blackberry Airlines,$282,825395,685078,1.15%,2.16%,83.00%,"-$1,512,950"
Russian Blue Airlines,$939,1286661,180133,0.56%,0.73%,14.00%,"$5,489,922"
Rustinu Airlines,"$1,091",242052,169436,0.20%,0.47%,70.00%,"-$324,348"
Rutilus Airlines,"$1,914",1805982,559854,0.12%,0.28%,31.00%,"$962,410"
Rye Airlines,"$1,936",1407377,1069607,0.17%,0.24%,76.00%,"-$352,972"
Saaland Pfarr Airlines,$571,1654180,612047,0.46%,0.75%,37.00%,"$1,726,631"
Saanenkaese Airlines,"$1,461",1654633,1174789,0.12%,0.27%,71.00%,"-$1,725,615"
Saarloos Wolfdog Airlines,$509,722079,21662,0.97%,1.60%,3.00%,"$3,383,521"
Saber-Toothed Tiger Airlines,$884,1548007,619203,0.25%,0.61%,40.00%,"$130,032"
Sabik Airlines,$661,403210,221766,0.42%,0.70%,55.00%,"$85,680"
Sable Airlines,"$1,270",1914558,727532,0.19%,0.31%,38.00%,"$1,663,751"
Saclateni Airlines,"$1,429",731229,58498,0.38%,0.52%,8.00%,"$3,542,076"
Sadachbia Airlines,$703,23832,11439,0.61%,0.80%,48.00%,"$38,438"
Sadalbari Airlines,"$1,133",363900,40029,0.28%,0.50%,11.00%,"$928,236"
Sadalmelik Airlines,"$1,385",1029537,226498,0.39%,0.62%,22.00%,"$3,609,146"
Sadalsuud Airlines,"$1,087",1846024,129222,0.46%,0.68%,7.00%,"$8,288,461"
Sadr Airlines,$328,1525408,655925,1.58%,1.93%,43.00%,"$3,771,422"
Saffron Crocus Airlines,"$1,726",532963,149230,0.11%,0.19%,28.00%,"$512,283"
Saga Airlines,$435,422617,33809,1.11%,1.85%,8.00%,"$1,777,192"
Sagarmatha Airlines,"$1,673",1187642,403798,0.09%,0.27%,34.00%,"$23,754"
Sage Derby Airlines,"$1,019",1392815,250707,0.37%,0.52%,18.00%,"$3,889,295"
Saiga Airlines,$917,1275655,446479,0.55%,0.73%,35.00%,"$3,475,524"
Saint Bernard Airlines,$712,1172387,515850,0.27%,0.66%,44.00%,"-$150,064"
Saint-Marcellin Airlines,$426,1240176,620088,1.07%,1.81%,50.00%,"$886,726"
Saint-Nectaire Airlines,"$1,477",799454,39973,0.28%,0.47%,5.00%,"$2,994,753"
Saint-Paulin Airlines,$260,1219077,365723,1.60%,2.06%,30.00%,"$3,102,552"
Sainte Maure Airlines,$791,1024428,92199,0.66%,0.93%,9.00%,"$4,657,763"
Saiph Airlines,$497,657672,453794,0.48%,0.76%,69.00%,"-$134,429"
Salamander Airlines,"$1,852",1932109,772844,0.22%,0.38%,40.00%,"$2,511,739"
Salers Airlines,$615,914459,365784,0.68%,1.19%,40.00%,"$1,130,268"
Salm Airlines,"$1,687",845756,152236,0.24%,0.42%,18.00%,"$2,297,412"
Salmon Airlines,$470,756632,302653,0.45%,0.97%,40.00%,"$231,528"
Samaya Airlines,$423,148175,34080,1.27%,1.68%,23.00%,"$554,532"
Samoyed Airlines,$568,631941,25278,0.61%,1.15%,4.00%,"$2,039,650"
Samso Airlines,"$1,326",1121463,168219,0.20%,0.30%,15.00%,"$2,364,607"
San Simon Airlines,$767,805528,281935,0.70%,0.93%,35.00%,"$2,288,504"
Sancerre Airlines,$862,1753137,543472,0.35%,0.51%,31.00%,"$2,972,095"
Sand Brier Airlines,"$1,314",1214851,996178,0.34%,0.52%,82.00%,"-$1,466,326"
Sand Lizard Airlines,"$1,973",1994952,997481,0.26%,0.31%,50.00%,"$3,900,100"
Sanguinary Airlines,$584,505958,111311,0.93%,1.13%,22.00%,"$2,026,765"
Sansuna Airlines,$200,358972,14359,2.23%,3.19%,4.00%,"$1,505,959"
Saola Airlines,"$1,487",1753256,1174682,0.15%,0.26%,67.00%,"-$518,966"
Sap Sago Airlines,$995,1928292,250678,0.26%,0.55%,13.00%,"$3,668,382"
Sardines Airlines,"$1,595",29041,20910,0.21%,0.29%,72.00%,$939
Sardo Airlines,"$1,360",1606828,835551,0.13%,0.24%,52.00%,"$89,981"
Sardo Egyptian Airlines,$392,835778,518182,0.59%,1.30%,62.00%,"-$712,081"
Sargas Airlines,$723,1371885,356690,0.55%,0.77%,26.00%,"$3,511,477"
Sarin Airlines,"$1,208",124489,47306,0.26%,0.52%,38.00%,"$88,660"
Saskatoon Airlines,$891,1731665,1160216,0.56%,0.78%,67.00%,"$560,191"
Sauce Alone Airlines,"$1,959",2000608,320097,0.23%,0.30%,16.00%,"$7,094,158"
Sawfish Airlines,$453,87785,61450,0.89%,1.27%,70.00%,"$1,577"
Sbrinz Airlines,"$1,884",378886,253854,0.27%,0.40%,67.00%,"$23,412"
Scamorza Airlines,$376,1866903,1120142,1.00%,1.55%,60.00%,"$496,595"
Scarlet Berry Airlines,$251,1012438,728955,1.43%,2.68%,72.00%,"-$1,281,339"
Scarlet Oak Airlines,$914,140048,25209,0.22%,0.40%,18.00%,"$194,441"
Sceptrum Airlines,$464,1689421,929182,0.71%,1.11%,55.00%,"$763,616"
Schabzieger Airlines,"$1,737",611005,433814,0.14%,0.24%,71.00%,"-$329,395"
Scheat Airlines,"$1,754",635520,165235,0.21%,0.32%,26.00%,"$1,406,788"
Schedar Airlines,"$1,764",3265,849,0.22%,0.37%,26.00%,"$7,363"
Schloss Airlines,"$1,451",757037,416370,0.35%,0.52%,55.00%,"$718,052"
Scimitar-horned Oryx Airlines,$602,223007,109273,0.74%,0.91%,49.00%,"$392,383"
Scoke Airlines,$407,1692228,321523,0.83%,1.17%,19.00%,"$4,189,281"
Scorpion Airlines,$942,811196,648957,0.26%,0.43%,80.00%,"-$622,999"
Scorpion Fish Airlines,"$1,490",1210830,423791,0.20%,0.38%,35.00%,"$1,149,075"
Scotch Cap Airlines,"$1,514",1085777,662324,0.20%,0.30%,61.00%,"$345,711"
Scrambled Eggs Airlines,$775,929464,102241,0.29%,0.71%,11.00%,"$1,512,424"
Screw Bean Mesquite Airlines,$416,1529351,978785,0.81%,1.36%,64.00%,"-$386,010"
Scrub Oak Airlines,"$1,717",556497,395113,0.29%,0.46%,71.00%,"-$353,822"
Scurvy Cress Airlines,"$1,648",374351,78614,0.25%,0.38%,21.00%,"$1,072,476"
Scurvy Grass Airlines,$226,799193,375621,0.93%,1.73%,47.00%,"$213,863"
Sea Dragon Airlines,"$1,329",1747364,1362944,0.18%,0.42%,78.00%,"-$3,481,448"
Sea Lion Airlines,"$1,261",293928,202810,0.29%,0.47%,69.00%,"-$130,532"
Sea Otter Airlines,"$1,345",679122,67912,0.26%,0.47%,10.00%,"$1,971,492"
Sea Slug Airlines,$789,1538465,153847,0.69%,0.96%,10.00%,"$7,264,628"
Sea Squirt Airlines,"$1,768",416936,187621,0.13%,0.31%,45.00%,"-$34,396"
Sea Turtle Airlines,"$1,116",1046860,512961,0.23%,0.33%,49.00%,"$812,993"
Sea Urchin Airlines,"$1,100",501631,300979,0.37%,0.62%,60.00%,"-$41,136"
Seahorse Airlines,$542,505340,5053,0.52%,0.86%,1.00%,"$1,401,613"
Seal Airlines,$689,984249,98425,0.69%,0.92%,10.00%,"$4,059,042"
Secunda Hyadum Airlines,"$1,510",1296263,635169,0.34%,0.50%,49.00%,"$1,887,617"
Segin Airlines,"$1,622",603689,404472,0.13%,0.31%,67.00%,"-$750,750"
Seginus Airlines,"$1,612",1599069,959441,0.19%,0.26%,60.00%,"$889,084"
Selles Sur Cher Airlines,$571,99340,44703,0.90%,1.25%,45.00%,"$193,415"
Selva Airlines,"$1,298",226738,40813,0.39%,0.57%,18.00%,"$856,207"
Senex Airlines,$930,392013,90163,0.37%,0.49%,23.00%,"$924,406"
Serat Airlines,"$1,853",1190945,559744,0.18%,0.26%,47.00%,"$1,203,451"
Seriously Strong Cheddar Airlines,$621,855180,453245,0.60%,0.81%,53.00%,"$909,999"
Serra Da Estrela Airlines,$481,1120617,930112,0.81%,1.36%,83.00%,"-$1,692,019"
Serval Airlines,"$1,137",1867137,989583,0.29%,0.44%,53.00%,"$1,176,294"
Serviceberry Airlines,$594,734196,609383,0.51%,1.00%,83.00%,"-$1,415,899"
Sessile Oak Airlines,"$1,530",612837,263520,0.19%,0.32%,43.00%,"$544,689"
Shad Blow Airlines,$454,499600,19984,1.19%,1.61%,4.00%,"$2,541,365"
Shad Blow Serviceberry Airlines,$685,965639,782168,0.57%,0.91%,81.00%,"-$1,114,736"
Shadbush Airlines,"$1,500",622218,304887,0.36%,0.46%,49.00%,"$1,237,217"
Sham Airlines,"$1,026",1158226,347468,0.26%,0.42%,30.00%,"$1,613,408"
Shama Airlines,$365,1175353,141042,1.22%,2.06%,12.00%,"$4,159,342"
Sharjah Airlines,$522,1593845,318769,0.93%,1.28%,20.00%,"$5,600,771"
Shark Airlines,$955,1418502,581586,0.53%,0.64%,41.00%,"$3,598,313"
Sharp Fringed Sow Thistle Airlines,"$1,502",1868826,1177360,0.25%,0.41%,63.00%,"-$188,375"
Sharpam Airlines,"$1,383",1987565,1411171,0.28%,0.37%,71.00%,"$662,257"
Shaula Airlines,$889,544477,76227,0.59%,0.77%,14.00%,"$2,348,763"
Sheep Airlines,"$1,682",376832,37683,0.10%,0.23%,10.00%,"$477,070"
Shelburne Cheddar Airlines,$933,36218,17022,0.34%,0.68%,47.00%,"$5,827"
Sheliak Airlines,"$1,100",389682,245500,0.20%,0.46%,63.00%,"-$368,758"
Sheratan Airlines,$445,1268433,697638,1.00%,1.34%,55.00%,"$1,511,973"
Shiba Inu Airlines,$255,1345542,1089889,1.50%,2.61%,81.00%,"-$2,107,791"
Shih Tzu Airlines,"$1,805",230913,34637,0.11%,0.21%,15.00%,"$309,308"
Shrimp Airlines,"$1,554",1489456,625572,0.24%,0.32%,42.00%,"$2,507,646"
Shropshire Blue Airlines,"$1,162",1123959,236031,0.46%,0.56%,21.00%,"$4,519,217"
Siamese Airlines,"$1,662",1490138,789773,0.31%,0.42%,53.00%,"$2,187,822"
Siamese Fighting Fish Airlines,"$1,842",1803815,595259,0.12%,0.23%,33.00%,"$1,588,620"
Siberian Airlines,$561,1121024,739876,0.68%,0.92%,66.00%,"$501,770"
Siberian Husky Airlines,$459,1909634,343734,0.50%,1.15%,18.00%,"$2,532,175"
Siberian Tiger Airlines,$375,1574831,818912,0.45%,0.77%,52.00%,"$255,123"
Sika Airlines,"$1,544",231384,37021,0.12%,0.22%,16.00%,"$295,710"
Silkweed Airlines,$866,1054230,590369,0.51%,0.77%,56.00%,"$726,574"
Silky Cornel Airlines,"$1,493",1181506,413527,0.10%,0.20%,35.00%,"$600,205"
Silky Dogwood Airlines,$525,1467925,1174340,0.39%,0.80%,80.00%,"-$1,961,148"
Silky Swallow Wort Airlines,"$1,603",1461173,715975,0.28%,0.45%,49.00%,"$1,346,323"
Silver Birch Airlines,"$1,431",751570,638835,0.19%,0.33%,85.00%,"-$1,035,290"
Silver Dollar Airlines,"$1,234",220312,66094,0.43%,0.59%,30.00%,"$686,710"
Silver Leaf Maple Airlines,$862,163604,111251,0.34%,0.56%,68.00%,"-$59,161"
Silver Maple Airlines,$932,27343,12851,0.49%,0.72%,47.00%,"$39,693"
Silver Ragwort Airlines,$867,1206996,675918,0.58%,0.83%,56.00%,"$1,183,337"
Siraz Airlines,$393,1449487,1232064,1.26%,1.87%,85.00%,"-$1,841,574"
Sirene Airlines,"$1,687",1137814,694067,0.30%,0.43%,61.00%,"$667,893"
Sirius Airlines,"$1,029",656097,229634,0.43%,0.72%,35.00%,"$1,162,932"
Siskiyou Airlines,"$1,551",1383649,774843,0.23%,0.32%,56.00%,"$1,114,670"
Situla Airlines,$939,1204477,12045,0.17%,0.47%,1.00%,"$1,874,165"
Skat Airlines,"$1,776",1877084,656979,0.18%,0.35%,35.00%,"$1,944,662"
Skate Fish Airlines,$496,1183684,804905,0.66%,1.01%,68.00%,"-$130,205"
Skunk Airlines,$739,748428,89811,0.41%,0.66%,12.00%,"$1,821,077"
Skunk Cabbage Airlines,$308,593884,492924,1.66%,2.47%,83.00%,"-$715,395"
Skunk Weed Airlines,"$1,118",872407,628133,0.18%,0.41%,72.00%,"-$1,118,077"
Sloth Airlines,"$1,641",1039993,863194,0.16%,0.29%,83.00%,"-$1,397,750"
Slow Worm Airlines,$920,1507580,211061,0.27%,0.42%,14.00%,"$2,915,359"
Small Flowered Thistle Airlines,"$1,872",803534,144636,0.15%,0.22%,18.00%,"$1,725,670"
Smoked Gouda Airlines,$372,937286,627982,1.03%,1.80%,67.00%,"-$592,648"
Snail Airlines,"$1,798",97406,37988,0.15%,0.23%,39.00%,"$100,972"
Snake Airlines,$760,412133,82427,0.24%,0.50%,20.00%,"$452,521"
Snake Berry Airlines,"$1,530",981610,68713,0.18%,0.32%,7.00%,"$2,289,211"
Snapping Turtle Airlines,$928,531419,414507,0.43%,0.64%,78.00%,"-$318,746"
Sneezeweed Airlines,"$1,575",633301,221655,0.11%,0.19%,35.00%,"$432,229"
Sneezewort Airlines,$754,764386,649728,0.47%,0.79%,85.00%,"-$1,163,013"
Sneezewort Yarrow Airlines,$385,1364727,0,0.59%,1.25%,0.00%,"$3,111,578"
Snowdrop Airlines,"$1,999",104507,86741,0.16%,0.30%,83.00%,"-$191,427"
Snowshoe Airlines,$717,420352,4204,0.60%,0.94%,1.00%,"$1,770,645"
Snowy Owl Airlines,"$1,905",617233,203687,0.29%,0.43%,33.00%,"$1,703,871"
Soft Maple Airlines,"$1,221",571688,257260,0.37%,0.55%,45.00%,"$868,677"
Solaris Airlines,"$1,504",193696,63920,0.28%,0.41%,33.00%,"$410,091"
Soldiers Woundwort Airlines,"$1,058",606991,54629,0.36%,0.65%,9.00%,"$1,946,743"
Somali Airlines,"$1,300",750669,142627,0.23%,0.44%,19.00%,"$1,466,583"
Somerset Brie Airlines,"$1,636",377838,192697,0.09%,0.26%,51.00%,"-$223,603"
Sonoma Jack Airlines,"$1,895",95812,10539,0.08%,0.19%,11.00%,"$106,956"
Sonomae Airlines,"$1,671",661936,469975,0.22%,0.28%,71.00%,"$202,484"
Sorrel Airlines,"$1,022",1792993,1470254,0.49%,0.68%,82.00%,"-$1,245,053"
Sottocenare Al Tartufo Airlines,$497,1198009,1006328,1.05%,1.67%,84.00%,"-$2,066,809"
Soumaintrain Airlines,"$1,471",1170884,128797,0.24%,0.36%,11.00%,"$3,396,033"
Sourire Lozerien Airlines,$936,1594091,494168,0.25%,0.40%,31.00%,"$1,919,924"
South China Tiger Airlines,$816,515715,206286,0.39%,0.65%,40.00%,"$561,098"
Spadefoot Toad Airlines,"$1,006",1482049,163025,0.20%,0.50%,11.00%,"$2,224,854"
Spanish Oak Airlines,$406,1201061,996881,1.09%,1.60%,83.00%,"-$1,127,078"
Sparrow Airlines,$521,799038,151817,0.38%,0.94%,19.00%,"$822,211"
Speciosus Airlines,"$1,373",1592778,764533,0.28%,0.50%,48.00%,"$912,346"
Speckled Alder Airlines,$557,1057162,42286,0.73%,1.19%,4.00%,"$4,001,573"
Spectabilis Airlines,"$1,456",284704,133811,0.28%,0.46%,47.00%,"$276,105"
Spectacled Bear Airlines,$323,1370989,836303,1.11%,1.82%,61.00%,"-$3,974"
Speedwell Airlines,$333,1747272,227145,0.72%,1.13%,13.00%,"$3,324,186"
Spenwood Airlines,$424,1902467,532691,0.39%,1.15%,28.00%,"$572,261"
Sperm Whale Airlines,$238,560241,56024,1.28%,2.40%,10.00%,"$1,388,838"
Spica Airlines,$426,1189478,999162,0.84%,1.50%,84.00%,"-$2,150,104"
Spice Birch Airlines,$333,1846277,1403171,1.33%,2.13%,76.00%,"-$1,801,970"
Spider Monkey Airlines,"$1,716",533888,69405,0.11%,0.20%,13.00%,"$741,038"
Spiny Dogfish Airlines,"$1,686",79821,56673,0.12%,0.22%,71.00%,"-$43,998"
Spiny Leaved Sow Thistle Airlines,"$1,345",1666761,983389,0.24%,0.36%,59.00%,"$548,364"
Spiny Sow Thistle Airlines,$395,1424931,1168443,1.06%,1.55%,82.00%,"-$1,192,095"
Spixs Macaw Airlines,"$1,547",1033333,72333,0.11%,0.31%,7.00%,"$1,413,808"
Sponge Airlines,$412,807221,193733,0.51%,1.11%,24.00%,"$822,074"
Spool Wood Airlines,"$1,523",125444,47669,0.28%,0.48%,38.00%,"$178,404"
Spotted Deadnettle Airlines,"$1,163",661509,19845,0.25%,0.52%,3.00%,"$1,838,997"
Spotted Oak Airlines,"$1,704",156899,10983,0.19%,0.31%,7.00%,"$443,067"
Spring Cress Airlines,"$1,559",1256755,502702,0.36%,0.45%,40.00%,"$3,428,428"
Squaw Bush Airlines,"$1,112",316403,72773,0.18%,0.35%,23.00%,"$341,682"
Squid Airlines,"$1,179",713851,364064,0.41%,0.62%,51.00%,"$811,649"
Squirrel Airlines,"$1,522",864828,155669,0.22%,0.32%,18.00%,"$2,155,498"
Squirrel Monkey Airlines,$860,801934,609470,0.63%,1.00%,76.00%,"-$889,186"
Sraffordshire Organic Airlines,"$1,823",1941080,970540,0.27%,0.43%,50.00%,"$2,067,250"
Sri Lankan Elephant Airlines,"$1,148",1637856,818928,0.23%,0.41%,50.00%,"$360,328"
St. Agur Blue Cheese Airlines,$806,406403,89409,0.28%,0.64%,22.00%,"$444,928"
Staffordshire Bull Terrier Airlines,"$1,917",473912,218000,0.10%,0.16%,46.00%,"$244,253"
Stag Beetle Airlines,"$1,342",1209193,1027814,0.29%,0.39%,85.00%,"-$568,320"
Stag Bush Airlines,"$1,444",1193896,465619,0.24%,0.34%,39.00%,"$1,930,293"
Stammerwort Airlines,$398,581864,145466,0.47%,1.18%,25.00%,"$402,941"
Star Of Persia Airlines,$692,853733,452478,0.57%,0.87%,53.00%,"$644,315"
Starfish Airlines,"$1,202",1844008,626963,0.31%,0.42%,34.00%,"$3,761,775"
Steller’s Sea Cow Airlines,"$1,453",1073183,847815,0.12%,0.20%,79.00%,"-$693,599"
Sterrennacht Airlines,"$1,400",172600,100108,0.16%,0.33%,58.00%,"-$82,952"
Stick Insect Airlines,"$1,123",1865135,671449,0.22%,0.41%,36.00%,"$1,568,950"
Stickweed Airlines,$964,591010,401887,0.56%,0.72%,68.00%,"$410,396"
Stilton Airlines,"$1,298",1832851,1246339,0.34%,0.55%,68.00%,"-$680,357"
Stingray Airlines,$427,312237,256034,0.37%,0.68%,82.00%,"-$242,919"
Stinking Bishop Airlines,$405,31991,12476,1.15%,1.72%,39.00%,"$62,245"
Stoat Airlines,"$1,284",260170,218543,0.28%,0.40%,84.00%,"-$177,541"
Strawberry Airlines,$302,675828,121649,1.57%,2.42%,18.00%,"$2,315,387"
Strawberry Tree Airlines,"$1,930",1187750,510733,0.20%,0.32%,43.00%,"$1,465,799"
Striatus Airlines,$884,1915365,766146,0.21%,0.54%,40.00%,"-$19,154"
Stribor Airlines,$651,1010603,384029,0.58%,0.96%,38.00%,"$1,428,589"
String Airlines,"$1,234",688608,289215,0.35%,0.61%,42.00%,"$781,435"
Striped Alder Airlines,"$1,215",1150482,425678,0.21%,0.41%,37.00%,"$765,302"
Striped Maple Airlines,$945,635826,298838,0.20%,0.49%,47.00%,"-$206,960"
Striped Rocket Frog Airlines,$588,1635409,637810,0.57%,1.03%,39.00%,"$1,652,578"
Sturgeon Airlines,$697,1304834,0,0.55%,0.82%,0.00%,"$4,971,418"
Sualocin Airlines,"$1,339",1709062,51272,0.34%,0.47%,3.00%,"$7,434,590"
Subra Airlines,$531,1387353,110988,0.82%,1.43%,8.00%,"$5,221,444"
Sucker Fish Airlines,"$1,844",1727128,207255,0.23%,0.31%,12.00%,"$6,232,171"
Sugar Glider Airlines,"$1,049",1464284,732142,0.25%,0.41%,50.00%,"$658,928"
Sugar Maple Airlines,"$1,028",885730,584582,0.50%,0.77%,66.00%,"-$32,951"
Sugarcane Airlines,"$1,266",1605708,513827,0.33%,0.46%,32.00%,"$3,695,053"
Sugarplum Airlines,"$1,190",381106,293452,0.45%,0.67%,77.00%,"-$290,215"
Suhail Airlines,$672,301615,138743,0.61%,0.97%,46.00%,"$332,258"
Sulafat Airlines,$293,1942996,816058,1.67%,2.24%,42.00%,"$4,120,319"
Sumatran Elephant Airlines,$934,1445174,1054977,0.57%,0.73%,73.00%,"$393,377"
Sumatran Orang-utan Airlines,"$1,037",1167527,723867,0.26%,0.38%,62.00%,"$299,119"
Sumatran Rhinoceros Airlines,"$1,953",558258,39078,0.25%,0.42%,7.00%,"$2,438,136"
Sumatran Tiger Airlines,"$1,233",380976,255254,0.36%,0.57%,67.00%,"-$119,475"
Summer Lilac Airlines,$835,2001098,820450,0.63%,0.87%,41.00%,"$4,524,684"
Sun Bear Airlines,$905,1621232,859253,0.25%,0.50%,53.00%,"-$234,106"
Sundari Bangladesh Airlines,"$1,001",1075484,322645,0.20%,0.46%,30.00%,"$714,122"
Sunflower Airlines,$554,1383925,899551,0.96%,1.42%,65.00%,"$319,689"
Sussex Slipcote Airlines,$590,1088306,217661,0.92%,1.36%,20.00%,"$4,179,097"
Sveciaost Airlines,"$1,542",202921,172483,0.20%,0.40%,85.00%,"-$429,077"
Swai Fish Airlines,"$1,844",1674760,1004856,0.15%,0.22%,60.00%,"$522,525"
Swaledale Airlines,"$1,446",1130898,463668,0.34%,0.48%,41.00%,"$2,273,672"
Swallow Wort Airlines,"$1,273",1977514,553704,0.30%,0.52%,28.00%,"$3,811,855"
Swamp Ash Airlines,$466,1934143,638267,0.55%,1.04%,33.00%,"$1,875,153"
Swamp Cabbage Airlines,"$1,637",1863562,689518,0.26%,0.44%,37.00%,"$2,821,060"
Swamp Dewberry Airlines,$715,219141,15340,0.68%,0.95%,7.00%,"$954,139"
Swamp Dogwood Airlines,"$1,751",1347801,202170,0.14%,0.25%,15.00%,"$2,378,869"
Swamp Hellebore Airlines,"$1,127",343604,288627,0.43%,0.63%,84.00%,"-$371,777"
Swamp Holly Airlines,"$1,093",736331,88360,0.34%,0.59%,12.00%,"$2,136,242"
Swamp Maple Airlines,$202,1028000,61680,1.94%,2.58%,6.00%,"$3,698,127"
Swamp Milkweed Airlines,"$1,368",1276474,982885,0.12%,0.30%,77.00%,"-$1,895,181"
Swamp Oak Airlines,"$1,504",1733508,988100,0.31%,0.38%,57.00%,"$2,381,491"
Swamp Silkweed Airlines,$759,1329501,598275,0.46%,0.60%,45.00%,"$1,899,859"
Swamp Spanish Oak Airlines,$574,776214,520063,0.32%,0.68%,67.00%,"-$574,086"
Swamp White Oak Airlines,"$1,414",45181,18524,0.28%,0.39%,41.00%,"$79,768"
Swan Airlines,"$1,685",567135,396995,0.11%,0.25%,70.00%,"-$619,314"
Swedish Vallhund Airlines,"$1,802",1283950,179753,0.11%,0.22%,14.00%,"$1,806,774"
Sweet Birch Airlines,"$1,931",1263844,922606,0.29%,0.44%,73.00%,"-$846,269"
Sweet Orange Airlines,$710,1655434,1092586,0.38%,0.75%,66.00%,"-$1,408,772"
Sweet Potato Airlines,$774,1747774,1066142,0.69%,0.85%,61.00%,"$2,342,193"
Sweet Potato Vine Airlines,"$1,146",1480053,1110040,0.25%,0.46%,75.00%,"-$1,624,359"
Sweet Rocket Airlines,$409,1009765,60586,0.69%,1.29%,6.00%,"$2,547,233"
Sweet Style Swiss Airlines,"$1,785",1266745,532033,0.28%,0.35%,42.00%,"$3,119,739"
Swine Thistle Airlines,$734,1813598,290176,0.46%,0.65%,16.00%,"$4,679,081"
Swinies Airlines,$558,1361895,789899,0.34%,0.53%,58.00%,"$214,363"
Swiss Airlines,$422,157195,25151,0.49%,1.00%,16.00%,"$219,005"
Sword Ferns Airlines,"$1,081",1539371,261693,0.40%,0.65%,17.00%,"$4,771,743"
Sycamore Airlines,"$1,515",958661,335531,0.32%,0.45%,35.00%,"$2,310,855"
